Org ID,Organisation,Operation Area,Org Type,Org Website,Volunteer URL,Donate URL,IG URL,FB URL,Events URL 1,Events URL 2,Locally-owned,Parent,Description
ORG076,The Freecycle Network,National,,,,,,,,,,,"Welcome to The Freecycle Network! We are a grassroots & entirely nonprofit movement of people who are giving and getting stuff for free in their own Towns. It's all about reuse and keeping good stuff out of landfills. Membership is free. And now you can also set up your own, smaller personal Friends Circle for gifting and lending of items with just your friends!"
ORG077,Olio,National,,,,,,,,,,,
ORG078,Incredible Edible,National,Community Interest Company,https://www.incredibleedible.org.uk/,,,https://www.instagram.com/incredibleedibleuk,https://www.facebook.com/profile.php?id=61550813619569,,,,,
ORG079,Age UK,National,Registered Charity,,,,,,,,,,
ORG080,Repair Cafe,National,Registered Charity,https://www.repaircafe.org/,,,https://www.instagram.com/repaircafefoundation/,,,,,,
ORG081,The Salus Group,Kent,Private Company,https://salusgroup.org.uk/,,,https://www.instagram.com/hythe.youth.centre/,https://www.facebook.com/SalusYouthShepway,,,FALSE,,
ORG082,Salus Project,Kent,Community Interest Company,https://salusgroup.org.uk/,,,https://www.instagram.com/hythe.youth.centre/,https://www.facebook.com/SalusYouthShepway,,,FALSE,The Salus Group,
ORG083,Hythe Town Council,Hythe,Government,https://www.hythe-tc.gov.uk/,,,,,,,,,
ORG084,Shaw Trust,National,Registered Charity,https://shawtrust.org.uk/,,,https://www.instagram.com/shaw_trust/?hl=en-gb,,,,FALSE,,
ORG085,NHS,National,Government,https://www.nhs.uk/,,,,,,,,,
ORG086,Kent County Council,Kent,Government,https://www.kent.gov.uk/,,,https://www.instagram.com/kcc_kent,https://www.facebook.com/KentCountyCouncil/,,,,,
